이용일시,승인번호,본인구분,브랜드,이용카드,가맹점명,이용금액,이용구분,매입상태
2019-10-12 9:13,1972753,본,S&,185,네이버파이낸셜(주),546800,일시불(A),부분취소
2019-10-12 11:56,3399357,본,S&,185,GS  샵,60440,일시불(A),전표매입
2019-10-13 9:16,12621902,본,S&,185,G마켓,91520,P(A),전표매입
2019-10-14 1:32,20726947,본,S&,185,11번가,89810,일시불(A),전표매입
2019-10-14 7:06,21234320,본,S&,185,네이버파이낸셜(주),33600,일시불(A),전표매입
2019-10-15 23:32,42229559,본,S&,185,네이버파이낸셜(주),309600,일시불(A),부분취소
2019-10-16 8:00,43433092,본,S&,185,SSG.COM,61983,일시불(A),부분취소
2019-10-16 16:04,48341209,본,S&,185,(주)에이랜드 타임스퀘어,31600,일시불,전표매입
2019-10-17 1:13,3495922,본,S&,185,(주)어패럴컴퍼니,97000,일시불(A),부분취소
2019-10-17 20:19,12252560,본,S&,185,(주)곱,96000,일시불,전표매입
2019-10-17 20:28,12336385,본,S&,185,카카오택시(선승인),4200,일시불,승인취소
2019-10-17 20:35,12421511,본,S&,185,카카오페이(택시),4200,일시불,전표매입
2019-10-17 22:43,13427539,본,S&,185,포도당,75000,일시불,전표매입
2019-10-18 9:23,15400489,본,S&,185,에뛰드,26410,일시불(A),전표매입
2019-10-18 13:07,17868166,본,S&,185,네이버파이낸셜(주),12500,일시불(A),전표매입
2019-10-18 15:48,20127779,본,S&,185,미니스톱신촌점,1300,일시불,전표매입
2019-10-19 20:51,34777756,본,S&,185,(주)우아한형제들,19000,일시불(A),전표매입
2019-10-20 11:05,38108397,본,S&,185,프렌트립,55995,일시불(A),부분취소
2019-10-20 19:41,43820947,본,S&,185,네이버파이낸셜(주),118000,일시불(A),전표매입
2019-10-20 20:41,44407948,본,S&,185,네이버파이낸셜(주),269000,일시불(A),전표매입
2019-10-21 8:02,47020423,본,S&,185,ZARA,251000,02개월(A),부분취소
2019-10-21 9:01,47382647,본,S&,185,네이버파이낸셜(주),75600,일시불(A),부분취소
2019-10-21 19:39,6113616,본,S&,185,스패뉴시청지점,61800,일시불,전표매입
2019-10-22 0:20,8465960,본,S&,185,네이버파이낸셜(주),40900,일시불(A),전표매입
2019-10-22 19:13,17401676,본,S&,185,티머니 개인택시,4400,일시불,전표매입
2019-10-23 14:33,24535790,본,S&,185,스타벅스코리아,10000,일시불(A),전표매입
2019-10-23 17:11,26286751,본,S&,185,(주)우아한형제들,21400,일시불(A),전표매입
2019-10-23 17:15,26340503,본,S&,185,(주)우아한형제들,63000,일시불(A),전표매입
2019-10-24 8:14,31186016,본,S&,185,전화결제,207000,일시불,전표매입
2019-10-24 16:02,35930752,본,S&,185,케이데코(K Deco),48000,일시불(A),전표매입
2019-10-24 17:49,37165070,본,S&,185,씨제이올리브영(주)합정메세나폴,23200,일시불,전표매입
2019-10-24 20:10,38877940,본,S&,185,타르타르홍대점,23100,일시불,전표매입
2019-10-25 7:44,41558471,본,S&,185,스타벅스코리아,10000,일시불(A),전표매입
2019-10-25 15:36,46897293,본,S&,185,연세내과의원,50000,일시불,전표매입
2019-10-25 16:51,47825013,본,S&,185,나폴레옹과자점,5300,일시불,전표매입
2019-10-25 16:58,47913735,본,S&,185,홈플러스익스프레스신촌점,3990,일시불,전표매입
2019-10-26 14:37,8869313,본,S&,185,(주)우아한형제들,11900,일시불(A),전표매입
2019-10-27 1:29,15016840,본,S&,185,(주)신세계면세점 명동점,112845,P(A),매출취소
2019-10-27 1:35,15039376,본,S&,185,(주)신세계면세점 명동점,161598,일시불(A),매출취소
2019-10-27 2:46,15310062,본,S&,185,롯데E커머스,16241,일시불(A),전표매입
2019-10-27 21:07,22934855,본,S&,185,(주)우아한형제들,19000,일시불(A),전표매입
